Team,TYDS/G,PYDS/G,RYDS/G,PTS/G
Philadelphia Eagles,278.4,174,104.2,18
Tennessee Titans,311.2,177,133.9,27
New York Jets,313.8,193,121.1,24
Miami Dolphins,314.3,211,103.7,21
Houston Texans,315,201,114,22
Green Bay Packers,315.6,215,99.4,20
Denver Broncos,317.1,221,96.4,18
San Francisco 49ers,317.4,193,124.6,26
Kansas City Chiefs,320.6,219,101.8,19
Baltimore Ravens,324.2,244,80.1,21
Los Angeles Chargers,324.4,207,117.5,18
Pittsburgh Steelers,326.7,228,98.7,20
Washington Commanders,327.9,190,137.5,23
Seattle Seahawks,332.7,212,120.8,22
Las Vegas Raiders,333.1,216,116.9,26
Minnesota Vikings,335.4,242,93.4,20
Buffalo Bills,341.5,226,115.5,22
Tampa Bay Buccaneers,341.8,244,97.8,23
Cleveland Browns,342.1,212,129.7,26
Detroit Lions,342.4,244,98.4,20
Arizona Cardinals,342.5,216,126.4,22
New England Patriots,343.4,212,131.4,25
Atlanta Falcons,345.2,225,120.6,25
New York Giants,346.8,211,136.2,24
Cincinnati Bengals,348.3,224,124.8,26
Los Angeles Rams,353.1,223,130,23
Chicago Bears,354.3,218,136.3,22
Dallas Cowboys,355.2,218,137.1,28
Indianapolis Colts,361.2,229,131.8,25
New Orleans Saints,379.9,239,141.4,23
Jacksonville Jaguars,389.9,257,132.6,26
Carolina Panthers,404.5,225,179.8,31
