Team,TYDS/G,PYDS/G,RYDS/G,PTS/G
Dallas Cowboys,393.1,271.3,121.8,29.3
Buffalo Bills,381,225.3,155.7,28.1
Detroit Lions,376.3,238.2,138.1,29.2
Indianapolis Colts,375.4,241,134.4,29.8
Kansas City Chiefs,374.8,256.5,118.3,25.4
Chicago Bears,374.3,220.4,153.8,26.1
New England Patriots,362.6,249.7,112.9,27
Los Angeles Rams,360.1,246.6,113.5,27.8
Seattle Seahawks,352.5,235.6,116.9,29.2
Los Angeles Chargers,346.8,224.7,122.1,23.1
San Francisco 49ers,341.2,242.6,98.5,23.6
Denver Broncos,340.8,221.5,119.3,23.7
Green Bay Packers,340.6,223.4,117.2,24.5
New York Giants,340.1,216.6,123.5,21.5
Washington Commanders,337.6,198.7,138.9,21.8
Arizona Cardinals,337.3,236.7,100.6,22.1
Atlanta Falcons,334.7,210.8,123.9,20.3
Houston Texans,326.8,219.1,107.7,21.9
Jacksonville Jaguars,326,202.8,123.3,24.3
Baltimore Ravens,317.3,180.5,136.8,24.1
Tampa Bay Buccaneers,316.2,206.3,109.8,23.3
Cincinnati Bengals,313.3,224.8,88.5,23.3
Carolina Panthers,311.2,185.7,125.5,19
Philadelphia Eagles,304.8,196.3,108.5,22.5
Miami Dolphins,300.2,183.1,117.1,20.6
New Orleans Saints,296.6,205.9,90.7,15.2
Pittsburgh Steelers,281.7,187.8,93.8,23.4
New York Jets,280.5,146.8,133.7,20.5
Minnesota Vikings,272.6,173.2,99.4,18.7
Las Vegas Raiders,259.5,184.1,75.4,14.9
Cleveland Browns,258,159.6,98.5,16.2
Tennessee Titans,242.4,165.8,76.7,14.2
