Team,TYDS/G,PYDS/G,RYDS/G,PTS/G
Baltimore Ravens,424.9,237.4,188,30.5
Detroit Lions,409.5,263.2,146,33.2
Tampa Bay Buccaneers,399.5,250.4,149,29.5
San Francisco 49ers,376.3,249.1,127,22.9
Green Bay Packers,370.8,223.9,147,27.1
Atlanta Falcons,369.8,239.3,131,22.9
Washington Commanders,369.6,215.6,154,28.5
Philadelphia Eagles,367.2,187.9,179,27.2
Cincinnati Bengals,365.5,272.9,93,27.8
Buffalo Bills,359.1,227.9,131,30.9
Arizona Cardinals,358.2,214.1,144,23.5
Minnesota Vikings,346.9,237.8,109,25.4
Indianapolis Colts,334.8,197.7,137,22.2
Seattle Seahawks,332.2,236.5,96,22.1
Los Angeles Rams,331.4,227.5,104,21.6
Dallas Cowboys,328.4,227.2,100,20.6
Kansas City Chiefs,327.6,222.4,105,22.6
Miami Dolphins,325.9,219.8,106,20.3
Denver Broncos,324.6,212.4,112,25
Los Angeles Chargers,324.2,213.5,111,23.6
New Orleans Saints,320.1,205.2,115,19.9
Houston Texans,319.7,207.4,112,21.9
Pittsburgh Steelers,319.4,192,127,22.4
New York Jets,310.3,218.5,92,19.9
Jacksonville Jaguars,306.2,204.5,102,18.8
Tennessee Titans,304.2,195.1,109,18.3
Las Vegas Raiders,303.2,223.4,80,18.2
Cleveland Browns,300.8,206.2,95,15.2
Carolina Panthers,298,187.5,111,20.1
New York Giants,294.8,189.9,105,16.1
New England Patriots,291.9,176.1,116,17
Chicago Bears,284.6,181.5,102,18.2
