Team, OCR, SOS
New York Giants, 166-123, 0.574
Chicago Bears, 165-124, 0.571
Detroit Lions, 165-124, 0.571
Philadelphia Eagles, 162-127, 0.561
Dallas Cowboys, 161-128, 0.557
Green Bay Packers, 161-128, 0.557
Minnesota Vikings, 161-128, 0.557
Washington Commanders, 159-130, 0.550
Baltimore Ravens, 154-135, 0.533
Pittsburgh Steelers, 152-137, 0.526
Kansas City Chiefs, 151-138, 0.522
Los Angeles Chargers, 151-138, 0.522
Cleveland Browns, 150-139, 0.519
Cincinnati Bengals, 147-142, 0.509
Denver Broncos, 146-143, 0.505
Las Vegas Raiders, 145-144, 0.502
Los Angeles Rams, 142-147, 0.491
Houston Texans, 139-150, 0.481
Tampa Bay Buccaneers, 139-150, 0.481
Atlanta Falcons, 138-151, 0.478
Miami Dolphins, 137-152, 0.474
Seattle Seahawks, 137-152, 0.474
Buffalo Bills, 135-154, 0.467
Jacksonville Jaguars, 135-154, 0.467
Indianapolis Colts, 134-155, 0.464
New York Jets, 133-156, 0.460
Arizona Cardinals, 132-157, 0.457
Carolina Panthers, 132-157, 0.457
Tennessee Titans, 130-159, 0.450
New England Patriots, 124-165, 0.429
New Orleans Saints, 121-168, 0.419
San Francisco 49ers, 120-169, 0.415
