Team,OCR, SOS
Cleveland Browns,158-131,0.547
Baltimore Ravens,155-134,0.536
Pittsburgh Steelers,154-135,0.533
Houston Texans,152-137,0.526
Green Bay Packers,152-137,0.526
Buffalo Bills,149-140,0.516
New York Giants,149-140,0.516
Jacksonville Jaguars,148-141,0.512
Las Vegas Raiders,148-141,0.512
New England Patriots,148-141,0.512
Detroit Lions,147-142,0.509
Dallas Cowboys,146-143,0.505
Los Angeles Rams,146-143,0.505
New York Jets,146-143,0.505
San Francisco 49ers,146-143,0.505
Cincinnati Bengals,145-144,0.502
Kansas City Chiefs,145-144,0.502
Minnesota Vikings,145-144,0.502
Washington Commanders,145-144,0.502
Denver Broncos,143-146,0.495
Indianapolis Colts,142-147,0.491
Philadelphia Eagles,142-147,0.491
Tennessee Titans,142-147,0.491
Arizona Cardinals,141-148,0.488
Miami Dolphins,141-148,0.488
Seattle Seahawks,141-148,0.488
Los Angeles Chargers,138-151,0.478
Tampa Bay Buccaneers,138-151,0.478
Carolina Panthers,135-154,0.467
Chicago Bears,135-154,0.467
New Orleans Saints,131-158,0.453
Atlanta Falcons,131-158,0.453
