Team,Offset,GivenInterception,GivenFumble,TotalGiven,TakenInterception,TakenFumble,TotalTaken
Chicago Bears,17,17,9,26,5,4,9
Los Angeles Rams,9,12,8,20,4,7,11
Tampa Bay Buccaneers,9,11,7,18,5,4,9
Houston Texans,9,12,7,19,7,3,10
Pittsburgh Steelers,8,10,12,22,9,5,14
Jacksonville Jaguars,6,13,7,20,11,3,14
Detroit Lions,5,9,4,13,5,3,8
Indianapolis Colts,5,12,5,17,7,5,12
Philadelphia Eagles,5,8,5,13,2,6,8
Atlanta Falcons,4,9,6,15,4,7,11
Green Bay Packers,4,6,5,11,3,4,7
Kansas City Chiefs,2,7,3,10,7,1,8
Arizona Cardinals,2,9,8,17,7,8,15
New England Patriots,1,8,6,14,6,7,13
Cleveland Browns,0,9,6,15,10,5,15
Carolina Panthers,0,12,5,17,10,7,17
Los Angeles Chargers,-1,11,2,13,10,4,14
Buffalo Bills,-2,8,7,15,10,7,17
Cincinnati Bengals,-3,10,5,15,12,6,18
Denver Broncos,-3,7,3,10,9,4,13
Las Vegas Raiders,-3,8,6,14,14,3,17
Miami Dolphins,-4,4,10,14,14,4,18
San Francisco 49ers,-4,5,9,14,13,5,18
Seattle Seahawks,-4,13,5,18,11,11,22
Baltimore Ravens,-4,7,7,14,8,10,18
Dallas Cowboys,-5,5,5,10,9,6,15
New Orleans Saints,-5,7,7,14,10,9,19
Tennessee Titans,-6,5,5,10,6,10,16
New York Giants,-7,5,2,7,8,6,14
Washington Commanders,-8,6,1,7,8,7,15
New York Jets,-12,0,2,2,5,9,14
Minnesota Vikings,-15,3,8,11,19,7,26
